uid,genre,aired,episodes,score,start,end
11135,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']","Oct 29, 2014 to Jan 28, 2015",4.0,7.89,"Oct 29, 2014","Jan 28, 2015"
13119,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']","Mar 8, 2014",1.0,7.89,"Mar 8, 2014",
29755,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Jul 3, 2015",1.0,7.89,"Jul 3, 2015",
267,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']","Oct 7, 2003 to Mar 30, 2004",26.0,7.89,"Oct 7, 2003","Mar 30, 2004"
4872,"['Comedy', 'Parody', 'School', 'Shounen']","Oct 17, 2008 to Feb 17, 2009",3.0,7.89,"Oct 17, 2008","Feb 17, 2009"
3665,"['Drama', 'Military', 'Sci-Fi', 'Space']","Dec 24, 1999 to Jun 27, 2001",28.0,7.89,"Dec 24, 1999","Jun 27, 2001"
37150,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']","Jan 20, 2018 to Jul 14, 2018",26.0,7.89,"Jan 20, 2018","Jul 14, 2018"
6768,"['Action', 'Military', 'Super Power', 'Mecha']","Jul 24, 2009",1.0,7.89,"Jul 24, 2009",
12403,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 3, 2012 to Sep 18, 2012",12.0,7.9,"Jul 3, 2012","Sep 18, 2012"
39597,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","Oct 13, 2019 to Dec 29, 2019",12.0,7.9,"Oct 13, 2019","Dec 29, 2019"
15771,"['Comedy', 'Seinen', 'Slice of Life']","May 10, 2013",1.0,7.9,"May 10, 2013",
82,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 25, 1989 to Aug 25, 1989",6.0,7.9,"Mar 25, 1989","Aug 25, 1989"
34745,"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']","Jul 11, 2017 to Dec 20, 2017",24.0,7.9,"Jul 11, 2017","Dec 20, 2017"
3782,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']","Dec 29, 2007",1.0,7.9,"Dec 29, 2007",
253,"['Slice of Life', 'Comedy', 'School']","Apr 3, 2001 to Sep 25, 2001",26.0,7.9,"Apr 3, 2001","Sep 25, 2001"
12413,"['Action', 'Adventure', 'Seinen']","Apr 11, 2012 to Jun 27, 2012",12.0,7.9,"Apr 11, 2012","Jun 27, 2012"
5630,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']","Apr 10, 2009 to Jun 19, 2009",11.0,7.89,"Apr 10, 2009","Jun 19, 2009"
38816,['Sci-Fi'],"Sep 20, 2019",1.0,7.9,"Sep 20, 2019",
29787,"['Slice of Life', 'Comedy']","Oct 10, 2015 to Dec 26, 2015",12.0,7.9,"Oct 10, 2015","Dec 26, 2015"
2321,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']","Jul 23, 1992 to Jan 25, 1998",7.0,7.9,"Jul 23, 1992","Jan 25, 1998"
4447,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']","Apr 19, 2008",1.0,7.9,"Apr 19, 2008",
1505,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']","Apr 9, 2005",1.0,7.9,"Apr 9, 2005",
1472,"['Action', 'Comedy', 'Mystery', 'Shounen']","Oct 15, 1989 to Jan 21, 1990",13.0,7.9,"Oct 15, 1989","Jan 21, 1990"
9465,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']","Oct 30, 2010",1.0,7.9,"Oct 30, 2010",
35507,"['Slice of Life', 'Psychological', 'Drama', 'School']","Jul 12, 2017 to Sep 27, 2017",12.0,7.91,"Jul 12, 2017","Sep 27, 2017"
38349,"['Slice of Life', 'Comedy', 'Romance']","Mar 29, 2019",1.0,7.91,"Mar 29, 2019",
17949,['Music'],"Mar 7, 2012",1.0,7.91,"Mar 7, 2012",
12445,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 9, 2012 to Jun 25, 2012",12.0,7.91,"Apr 9, 2012","Jun 25, 2012"
1254,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","Oct 11, 1986 to Apr 1, 1989",114.0,7.91,"Oct 11, 1986","Apr 1, 1989"
35073,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","Jan 9, 2018 to Apr 3, 2018",13.0,7.91,"Jan 9, 2018","Apr 3, 2018"
597,"['Adventure', 'Drama', 'Fantasy']","Jul 20, 2002",1.0,7.91,"Jul 20, 2002",
569,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']","Jan 25, 1993 to Jul 19, 1993",26.0,7.91,"Jan 25, 1993","Jul 19, 1993"
19111,"['Music', 'School', 'Slice of Life']","Apr 6, 2014 to Jun 29, 2014",13.0,7.91,"Apr 6, 2014","Jun 29, 2014"
14349,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']","Mar 2, 2013",1.0,7.91,"Mar 2, 2013",
4898,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24.0,7.91,"Oct 3, 2008","Mar 27, 2009"
249,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Oct 16, 2000 to Sep 13, 2004",167.0,7.91,"Oct 16, 2000","Sep 13, 2004"
12893,"['Comedy', 'School', 'Shounen', 'Slice of Life']","Apr 3, 2012 to Sep 4, 2012",6.0,7.91,"Apr 3, 2012","Sep 4, 2012"
8142,"['Slice of Life', 'Supernatural', 'Drama']","Aug 21, 2010",1.0,7.91,"Aug 21, 2010",
532,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38.0,7.91,"Mar 19, 1994","Feb 25, 1995"
21185,"['Romance', 'School', 'Shounen', 'Sports']","Apr 6, 2014 to Sep 21, 2014",25.0,7.91,"Apr 6, 2014","Sep 21, 2014"
890,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","Feb 1, 1997 to Jan 31, 1998",49.0,7.92,"Feb 1, 1997","Jan 31, 1998"
543,"['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']","Aug 25, 2000",1.0,7.92,"Aug 25, 2000",
949,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","Oct 7, 1988 to Jul 7, 1989",6.0,7.92,"Oct 7, 1988","Jul 7, 1989"
34504,"['Slice of Life', 'Comedy', 'School', 'Shounen']","Jul 21, 2017",1.0,7.92,"Jul 21, 2017",
1729,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']","Dec 29, 2006 to Jul 25, 2007",5.0,7.92,"Dec 29, 2006","Jul 25, 2007"
8310,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Apr 17, 2010 to Dec 29, 2012",12.0,7.92,"Apr 17, 2010","Dec 29, 2012"
35075,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Oct 8, 2017 to Dec 31, 2017",13.0,7.92,"Oct 8, 2017","Dec 31, 2017"
35678,"['Drama', 'Music', 'School']","Apr 19, 2019",1.0,7.92,"Apr 19, 2019",
15809,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13.0,7.92,"Apr 4, 2013","Jun 27, 2013"
35111,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","Sep 29, 2017",1.0,7.92,"Sep 29, 2017",
7304,"['Adventure', 'Mystery']","Apr 30, 2004",1.0,7.92,"Apr 30, 2004",
1366,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']","Apr 19, 2003",1.0,7.92,"Apr 19, 2003",
23225,"['Comedy', 'Shoujo Ai', 'Slice of Life']","Feb 18, 2015",1.0,7.93,"Feb 18, 2015",
17909,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']","Jul 7, 2013 to Sep 29, 2013",13.0,7.93,"Jul 7, 2013","Sep 29, 2013"
10521,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']","Oct 1, 2011 to Dec 24, 2011",13.0,7.93,"Oct 1, 2011","Dec 24, 2011"
22319,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12.0,7.93,"Jul 4, 2014","Sep 19, 2014"
400,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']","Jan 9, 1998 to Jun 26, 1998",24.0,7.93,"Jan 9, 1998","Jun 26, 1998"
